Initialised
Listening to port 4567
Connected!!!
CTE: , 0.7598 , Next Steering Value: -1
42["steer",{"steering_angle":-1.0,"throttle":0.2}]
CTE: , 0.7598 , Next Steering Value: -0.15196
42["steer",{"steering_angle":-0.15196,"throttle":0.2}]
CTE: , 0.7598 , Next Steering Value: -0.15196
42["steer",{"steering_angle":-0.15196,"throttle":0.2}]
CTE: , 0.7598 , Next Steering Value: -0.15196
42["steer",{"steering_angle":-0.15196,"throttle":0.2}]
CTE: , 0.7598 , Next Steering Value: -0.15196
42["steer",{"steering_angle":-0.15196,"throttle":0.2}]
CTE: , 0.7597 , Next Steering Value: -0.15174
42["steer",{"steering_angle":-0.15174,"throttle":0.2}]
CTE: , 0.7595 , Next Steering Value: -0.1515
42["steer",{"steering_angle":-0.1515,"throttle":0.2}]
CTE: , 0.759 , Next Steering Value: -0.1508
42["steer",{"steering_angle":-0.1508,"throttle":0.2}]
CTE: , 0.7587 , Next Steering Value: -0.15114
42["steer",{"steering_angle":-0.15114,"throttle":0.2}]
CTE: , 0.758 , Next Steering Value: -0.1502
42["steer",{"steering_angle":-0.1502,"throttle":0.2}]
CTE: , 0.7574 , Next Steering Value: -0.15028
42["steer",{"steering_angle":-0.15028,"throttle":0.2}]
CTE: , 0.7566 , Next Steering Value: -0.14972
42["steer",{"steering_angle":-0.14972,"throttle":0.2}]
CTE: , 0.7557 , Next Steering Value: -0.14934
42["steer",{"steering_angle":-0.14934,"throttle":0.2}]
CTE: , 0.7545 , Next Steering Value: -0.1485
42["steer",{"steering_angle":-0.1485,"throttle":0.2}]
CTE: , 0.7536 , Next Steering Value: -0.14892
42["steer",{"steering_angle":-0.14892,"throttle":0.2}]
CTE: , 0.7522 , Next Steering Value: -0.14764
42["steer",{"steering_angle":-0.14764,"throttle":0.2}]
CTE: , 0.7506 , Next Steering Value: -0.14692
42["steer",{"steering_angle":-0.14692,"throttle":0.2}]
CTE: , 0.7487 , Next Steering Value: -0.14594
42["steer",{"steering_angle":-0.14594,"throttle":0.2}]
CTE: , 0.7467 , Next Steering Value: -0.14534
42["steer",{"steering_angle":-0.14534,"throttle":0.2}]
CTE: , 0.7444 , Next Steering Value: -0.14428
42["steer",{"steering_angle":-0.14428,"throttle":0.2}]
CTE: , 0.7419 , Next Steering Value: -0.14338
42["steer",{"steering_angle":-0.14338,"throttle":0.2}]
CTE: , 0.7398 , Next Steering Value: -0.14376
42["steer",{"steering_angle":-0.14376,"throttle":0.2}]
CTE: , 0.7368 , Next Steering Value: -0.14136
42["steer",{"steering_angle":-0.14136,"throttle":0.2}]
CTE: , 0.7334 , Next Steering Value: -0.13988
42["steer",{"steering_angle":-0.13988,"throttle":0.2}]
CTE: , 0.7297 , Next Steering Value: -0.13854
42["steer",{"steering_angle":-0.13854,"throttle":0.2}]
CTE: , 0.7267 , Next Steering Value: -0.13934
42["steer",{"steering_angle":-0.13934,"throttle":0.2}]
CTE: , 0.7222 , Next Steering Value: -0.13544
42["steer",{"steering_angle":-0.13544,"throttle":0.2}]
CTE: , 0.7172 , Next Steering Value: -0.13344
42["steer",{"steering_angle":-0.13344,"throttle":0.2}]
CTE: , 0.7118 , Next Steering Value: -0.13156
42["steer",{"steering_angle":-0.13156,"throttle":0.2}]
CTE: , 0.7059 , Next Steering Value: -0.12938
42["steer",{"steering_angle":-0.12938,"throttle":0.2}]
CTE: , 0.6995 , Next Steering Value: -0.1271
42["steer",{"steering_angle":-0.1271,"throttle":0.2}]
CTE: , 0.6926 , Next Steering Value: -0.12472
42["steer",{"steering_angle":-0.12472,"throttle":0.2}]
CTE: , 0.6587 , Next Steering Value: -0.06394
42["steer",{"steering_angle":-0.0639399999999999,"throttle":0.2}]
CTE: , 0.6511 , Next Steering Value: -0.11502
42["steer",{"steering_angle":-0.11502,"throttle":0.2}]
CTE: , 0.6419 , Next Steering Value: -0.10998
42["steer",{"steering_angle":-0.10998,"throttle":0.2}]
